Original,Inflection,rbl_ara_folding,is_same
أسس,يؤسسن,اسس,False
أسس,نؤسس,اسس,False
أسس,أسست,اسس,False
أسس,أسست,اسس,False
أسس,أسست,اسس,False
أسس,أسستم,اسس,False
أسس,أسستن,اسس,False
أسس,أسس,اسس,False
أسس,أسست,اسس,False
أسس,أسسا,اسس,False
أسس,أسستا,اسس,False
أسس,أسسوا,اسس,False
أسس,أسسن,اسس,False
أسس,أسسنا,اسس,False
أسس,أسس,اسس,False
أسس,أسسي,اساس,False
أسس,أسسوا,اسس,False
أسس,أسسن,اسس,False
كون,كون,كون,True
كون,أكون,,False
كون,تكونن,,False
كون,تكونني,,False
كون,تكونين,تكون,False
كون,تكنون,اكن,False
كون,تكنوا,تكنى,False
كون,تكن,كن,False
كون,يكون,,False
كون,تكون,,False
كون,يكونان,,False
كون,يكونا,,False
كون,تكونا,تكون,False
كون,تكونان,,False
كون,يكونوا,,False
كون,يكونون,,False
كون,يكن,كن,False
كون,نكون,,False
كون,كنت,,False
كون,كنت,,False
كون,كنت,,False
كون,كنتم,,False
كون,كنتن,,False
كون,كان,,False
كون,كانت,,False
كون,كانا,,False
كون,كانتا,,False
كون,كانوا,,False
كون,كن,كن,False
كون,كنا,,False
كون,كن,كن,False
كون,كني,كنى,False
كون,كونوا,كون,True
كون,كن,كن,False
قام,قام,,False
قام,أقوم,اقوم,False
قام,تقوم,قام,True
قام,تقومين,قوم,False
قام,تقومي,قام,True
قام,تقومون,قوم,False
قام,تقوموا,قوم,False
قام,تقمن,تقمن,False
قام,يقوم,قام,True
قام,تقوم,قام,True
قام,يقمنا,قم,False
قام,يقمنان,,False
قام,تقمنا,تقمن,False
قام,تقمنان,,False
قام,يقومون,قام,True
قام,يقوموا,قام,True
قام,يقمن,قام,True
قام,نقوم,قام,True
قام,قمت,قم,False
قام,قمت,قم,False
قام,قمت,قم,False
قام,قمتم,قام,True
قام,قمتن,قام,True
قام,قام,,False
قام,قامت,قام,True
قام,قاما,قام,True
قام,قامتا,قام,True
قام,قاموا,قام,True
قام,قمن,قمن,False
قام,قمنا,قام,True
قام,قم,قم,False
قام,قومي,قام,True
قام,قوموا,قوم,False
قام,قمن,قمن,False
وجب,وجب,جب,False
وجب,أجب,جب,False
وجب,تجب,جب,False
وجب,تجيبين,جاب,False
وجب,تجيبي,جاب,False
وجب,تجيبون,اجاب,False
وجب,تجبوا,جبى,False
وجب,تجبن,جبن,False
وجب,يجب,جب,False
وجب,تجب,جب,False
وجب,يجيبان,جاب,False
وجب,يجيبا,جاب,False
وجب,تجيبان,جاب,False
وجب,تجيبا,جاب,False
وجب,يجبون,جب,False
وجب,يجبوا,جب,False
وجب,يجبن,جبن,False
وجب,نجب,نجب,False
وجب,وجبت,جب,False
وجب,وجبت,جب,False
وجب,وجبت,جب,False
وجب,وجبتم,جاب,False
وجب,وجبن,جبن,False
وجب,وجب,جب,False
وجب,وجبت,جب,False
وجب,وجبا,جب,False
وجب,وجبتا,جب,False
وجب,وجبوا,جب,False
وجب,وجبن,جبن,False
وجب,وجبنا,جاب,False
وجب,جب,جب,False
وجب,جبي,جبى,False
وجب,جبوا,جب,False
وجب,جبن,جبن,False
وجد,وجد,جد,False
وجد,أجد,اجد,False
وجد,تجد,جد,False
وجد,تجدين,جدا,False
وجد,تجدي,اجدى,False
وجد,تجدون,اجد,False
وجد,تجدوا,جدا,False
وجد,تجدن,اجاد,False
وجد,يجد,جد,False
وجد,تجد,جد,False
وجد,يجدان,جد,False
وجد,يجدا,جد,False
وجد,تجدان,جد,False
وجد,تجدا,جد,False
وجد,يجدون,جد,False
وجد,يجدوا,جدا,False
وجد,يجدن,جاد,False
وجد,نجد,نجد,False
وجد,وجدت,جد,False
وجد,وجدت,جد,False
وجد,وجدت,جد,False
وجد,وجدتم,جاد,False
وجد,وجدتن,جاد,False
وجد,وجد,جد,False
وجد,وجدت,جد,False
وجد,وجدا,جدا,False
وجد,وجدتا,جد,False
وجد,وجدوا,جد,False
وجد,وجدن,جاد,False
وجد,وجدنا,جاد,False
وجد,جد,جد,False
وجد,جدي,جدي,False
وجد,جدوا,جد,False
وجد,جدن,جاد,False
دعا,دعا,دعا,True
دعا,أدعو,دعا,True
دعا,تدعو,دعا,True
دعا,تدعين,دعا,True
دعا,تدعي,ادعى,False
دعا,تدعون,دع,False
دعا,تدعوا,دعا,True
دعا,تدعون,دع,False
دعا,يدعو,دعا,True
دعا,تدعو,دعا,True
دعا,يدعوان,دعا,True
دعا,يدعوا,دعا,True
دعا,تدعوان,دعا,True
دعا,تدعوا,دعا,True
دعا,يدعون,دع,False
دعا,يدعوا,دعا,True
دعا,يدعون,دع,False
دعا,ندعوا,,False
دعا,دعوت,دعا,True
دعا,دعوت,دعا,True
دعا,دعوت,دعا,True
دعا,دعوتم,دعا,True
دعا,دعوتن,دعا,True
دعا,دعا,دعا,True
دعا,دعت,دع,False
دعا,دعوا,دع,False
دعا,دعتا,دع,False
دعا,دعوا,دع,False
دعا,دعون,دعا,True
دعا,دعونا,دعا,True
دعا,أدعو,دعا,True
دعا,أدعي,دعا,True
دعا,أدعوا,دعا,True
دعا,أدعون,,False
رمى,رمى,رمى,True
رمى,أرمي,رمى,True
رمى,ترمي,رمى,True
رمى,ترمين,رمى,True
رمى,ترمي,رمى,True
رمى,ترموا,رم,False
رمى,ترمون,رم,False
رمى,ترمن,رام,False
رمى,يرمي,رمى,True
رمى,ترمي,رمى,True
رمى,يرميان,رمى,True
رمى,يرميا,رمى,True
رمى,ترميان,رمى,True
رمى,ترميا,رمى,True
رمى,يرمون,رم,False
رمى,يرموا,رم,False
رمى,يرمن,رام,False
رمى,نرمي,رمى,True
رمى,رميت,رمى,True
رمى,رميت,رمى,True
رمى,رميت,رمى,True
رمى,رميتم,رمى,True
رمى,رميتن,رمى,True
رمى,رمى,رمى,True
رمى,رمت,رم,False
رمى,رميا,رمى,True
رمى,رمتا,رم,False
رمى,رموا,رم,False
رمى,رمين,رمى,True
رمى,رمينا,رمى,True
رمى,أرم,ارم,False
رمى,أرمي,رمى,True
رمى,أرموا,ارم,False
رمى,أرمن,ارمني,False
بكى,بكى,بكى,True
بكى,أبكي,ابكى,False
بكى,تبكي,بكى,True
بكى,تبكين,بكى,True
بكى,تبكي,بكى,True
بكى,تبكون,بكى,True
بكى,تبكوا,بكى,True
بكى,تبكن,تب,False
بكى,يبكي,بكى,True
بكى,تبكي,بكى,True
بكى,يبكيا,بكي,False
بكى,يبكيان,بكي,False
بكى,تبكيان,بكي,False
بكى,تبكيا,بكي,False
بكى,يبكون,بكي,False
بكى,يبكوا,بكى,True
بكى,يبكن,,False
بكى,نبكي,بكي,False
بكى,بكيت,بكي,False
بكى,بكيت,بكي,False
بكى,بكيت,بكي,False
بكى,بكيتم,بكى,True
بكى,بكيتمن,,False
بكى,بكى,بكى,True
بكى,بكت,بكى,True
بكى,بكيا,بكى,True
بكى,بكتا,بكى,True
بكى,بكوا,بكى,True
بكى,بكين,بيجينغ,False
بكى,بكينا,بكى,True
بكى,أبك,اب,False
بكى,أبكي,ابكى,False
بكى,أبكوا,ابكى,False
بكى,أبكن,اب,False
دنا,دنا,دان,False
دنا,أدنو,دنا,True
دنا,تدنو,دنا,True
دنا,تدنين,دنا,True
دنا,تدني,دني,False
دنا,تدنون,ادنى,False
دنا,تدنوا,تدنى,False
دنا,تدنون,ادنى,False
دنا,يدنو,دنا,True
دنا,تدنو,دنا,True
دنا,يدنوان,دنا,True
دنا,يدنوا,دنا,True
دنا,تدنوان,دنا,True
دنا,تدنوا,تدنى,False
دنا,يدنون,دني,False
دنا,يدنوا,دنا,True
دنا,يدنون,دني,False
دنا,ندنوا,,False
دنا,دنوت,دنا,True
دنا,دنوت,دنا,True
دنا,دنوت,دنا,True
دنا,دنوتم,دنا,True
دنا,دنوتن,دنا,True
دنا,دنا,دان,False
دنا,دنت,دنا,True
دنا,دنوا,دنا,True
