Original,Inflection,ar_std_lem_folding2,is_same
قام,نقوم,نقوم,False
قام,قمت,قمت,False
قام,قمت,قمت,False
قام,قمت,قمت,False
قام,قمتم,قمتم,False
قام,قمتن,قمتن,False
قام,قام,قام,True
قام,قامت,قامت,False
قام,قاما,قاما,False
قام,قامتا,قامتا,False
قام,قاموا,قاموا,False
قام,قمن,قمن,False
قام,قمنا,قمنا,False
قام,قم,قم,False
قام,قومي,قوم,False
قام,قوموا,قوموا,False
قام,قمن,قمن,False
وجب,وجب,وجب,True
وجب,أجب,اجب,False
وجب,تجب,تجب,False
وجب,تجيبين,تجيب,False
وجب,تجيبي,تجيب,False
وجب,تجيبون,تجيب,False
وجب,تجبوا,تجبوا,False
وجب,تجبن,تجبن,False
وجب,يجب,يجب,False
وجب,تجب,تجب,False
وجب,يجيبان,يجيب,False
وجب,يجيبا,يجيبا,False
وجب,تجيبان,تجيب,False
وجب,تجيبا,تجيبا,False
وجب,يجبون,يجب,False
وجب,يجبوا,يجبوا,False
وجب,يجبن,يجبن,False
وجب,نجب,نجب,False
وجب,وجبت,جبت,False
وجب,وجبت,جبت,False
وجب,وجبت,جبت,False
وجب,وجبتم,جبتم,False
وجب,وجبن,جبن,False
وجب,وجب,وجب,True
وجب,وجبت,جبت,False
وجب,وجبا,جبا,False
وجب,وجبتا,جبتا,False
وجب,وجبوا,جبوا,False
وجب,وجبن,جبن,False
وجب,وجبنا,جبنا,False
وجب,جب,جب,False
وجب,جبي,جب,False
وجب,جبوا,جبوا,False
وجب,جبن,جبن,False
وجد,وجد,وجد,True
وجد,أجد,اجد,False
وجد,تجد,تجد,False
وجد,تجدين,تجد,False
وجد,تجدي,تجد,False
وجد,تجدون,تجد,False
وجد,تجدوا,تجدوا,False
وجد,تجدن,تجدن,False
وجد,يجد,يجد,False
وجد,تجد,تجد,False
وجد,يجدان,يجد,False
وجد,يجدا,يجدا,False
وجد,تجدان,تجد,False
وجد,تجدا,تجدا,False
وجد,يجدون,يجد,False
وجد,يجدوا,يجدوا,False
وجد,يجدن,يجدن,False
وجد,نجد,نجد,False
وجد,وجدت,جدت,False
وجد,وجدت,جدت,False
وجد,وجدت,جدت,False
وجد,وجدتم,جدتم,False
وجد,وجدتن,جدتن,False
وجد,وجد,وجد,True
وجد,وجدت,جدت,False
وجد,وجدا,جدا,False
وجد,وجدتا,جدتا,False
وجد,وجدوا,جدوا,False
وجد,وجدن,جدن,False
وجد,وجدنا,جدنا,False
وجد,جد,جد,False
وجد,جدي,جد,False
وجد,جدوا,جدوا,False
وجد,جدن,جدن,False
دعا,دعا,دعا,True
دعا,أدعو,ادعو,False
دعا,تدعو,تدعو,False
دعا,تدعين,تدع,False
دعا,تدعي,تدع,False
دعا,تدعون,تدع,False
دعا,تدعوا,تدعوا,False
دعا,تدعون,تدع,False
دعا,يدعو,يدعو,False
دعا,تدعو,تدعو,False
دعا,يدعوان,يدعو,False
دعا,يدعوا,يدعوا,False
دعا,تدعوان,تدعو,False
دعا,تدعوا,تدعوا,False
دعا,يدعون,يدع,False
دعا,يدعوا,يدعوا,False
دعا,يدعون,يدع,False
دعا,ندعوا,ندعوا,False
دعا,دعوت,دعوت,False
دعا,دعوت,دعوت,False
دعا,دعوت,دعوت,False
دعا,دعوتم,دعوتم,False
دعا,دعوتن,دعوتن,False
دعا,دعا,دعا,True
دعا,دعت,دعت,False
دعا,دعوا,دعوا,False
دعا,دعتا,دعتا,False
دعا,دعوا,دعوا,False
دعا,دعون,دع,False
دعا,دعونا,دعونا,False
دعا,أدعو,ادعو,False
دعا,أدعي,ادع,False
دعا,أدعوا,ادعوا,False
دعا,أدعون,ادع,False
رمى,رمى,رمى,True
رمى,أرمي,ارم,False
رمى,ترمي,ترم,False
رمى,ترمين,ترم,False
رمى,ترمي,ترم,False
رمى,ترموا,ترموا,False
رمى,ترمون,ترم,False
رمى,ترمن,ترمن,False
رمى,يرمي,يرم,False
رمى,ترمي,ترم,False
رمى,يرميان,يرم,False
رمى,يرميا,يرميا,False
رمى,ترميان,ترم,False
رمى,ترميا,ترميا,False
رمى,يرمون,يرم,False
رمى,يرموا,يرموا,False
رمى,يرمن,يرمن,False
رمى,نرمي,نرم,False
رمى,رميت,رميت,False
رمى,رميت,رميت,False
رمى,رميت,رميت,False
رمى,رميتم,رميتم,False
رمى,رميتن,رميتن,False
رمى,رمى,رمى,True
رمى,رمت,رمت,False
رمى,رميا,رميا,False
رمى,رمتا,رمتا,False
رمى,رموا,رموا,False
رمى,رمين,رم,False
رمى,رمينا,رمينا,False
رمى,أرم,ارم,False
رمى,أرمي,ارم,False
رمى,أرموا,ارموا,False
رمى,أرمن,ارمن,False
بكى,بكى,بكى,True
بكى,أبكي,ابك,False
بكى,تبكي,تبك,False
بكى,تبكين,تبك,False
بكى,تبكي,تبك,False
بكى,تبكون,تبك,False
بكى,تبكوا,تبكوا,False
بكى,تبكن,تبكن,False
بكى,يبكي,يبك,False
بكى,تبكي,تبك,False
بكى,يبكيا,يبكيا,False
بكى,يبكيان,يبك,False
بكى,تبكيان,تبك,False
بكى,تبكيا,تبكيا,False
بكى,يبكون,يبك,False
بكى,يبكوا,يبكوا,False
بكى,يبكن,يبكن,False
بكى,نبكي,نبك,False
بكى,بكيت,بكيت,False
بكى,بكيت,بكيت,False
بكى,بكيت,بكيت,False
بكى,بكيتم,بكيتم,False
بكى,بكيتمن,بكيتمن,False
بكى,بكى,بكى,True
بكى,بكت,بكت,False
بكى,بكيا,بكيا,False
بكى,بكتا,بكتا,False
بكى,بكوا,بكوا,False
بكى,بكين,بك,False
بكى,بكينا,بكينا,False
بكى,أبك,ابك,False
بكى,أبكي,ابك,False
بكى,أبكوا,ابكوا,False
بكى,أبكن,ابكن,False
دنا,دنا,دنا,True
دنا,أدنو,ادنو,False
دنا,تدنو,تدنو,False
دنا,تدنين,تدن,False
دنا,تدني,تدن,False
دنا,تدنون,تدن,False
دنا,تدنوا,تدنوا,False
دنا,تدنون,تدن,False
دنا,يدنو,يدنو,False
دنا,تدنو,تدنو,False
دنا,يدنوان,يدنو,False
دنا,يدنوا,يدنوا,False
دنا,تدنوان,تدنو,False
دنا,تدنوا,تدنوا,False
دنا,يدنون,يدن,False
دنا,يدنوا,يدنوا,False
دنا,يدنون,يدن,False
دنا,ندنوا,ندنوا,False
دنا,دنوت,دنوت,False
دنا,دنوت,دنوت,False
