Original,Inflection,rbl_ara,is_same
أسس,أسسنا,أَسَّس,False
أسس,أسس,أَسَّس,False
أسس,أسسي,أَساس,False
أسس,أسسوا,أَسَّس,False
أسس,أسسن,أَسَّس,False
كون,كون,كَوْن,False
كون,أكون,,False
كون,تكونن,,False
كون,تكونني,,False
كون,تكونين,تَكَوُّن,False
كون,تكنون,أَكَنّ,False
كون,تكنوا,تَكَنَّى,False
كون,تكن,كَنّ,False
كون,يكون,,False
كون,تكون,,False
كون,يكونان,,False
كون,يكونا,,False
كون,تكونا,تَكَوَّن,False
كون,تكونان,,False
كون,يكونوا,,False
كون,يكونون,,False
كون,يكن,كَنّ,False
كون,نكون,,False
كون,كنت,,False
كون,كنت,,False
كون,كنت,,False
كون,كنتم,,False
كون,كنتن,,False
كون,كان,,False
كون,كانت,,False
كون,كانا,,False
كون,كانتا,,False
كون,كانوا,,False
كون,كن,كَنّ,False
كون,كنا,,False
كون,كن,كَنّ,False
كون,كني,كَنَى,False
كون,كونوا,كَوَّن,False
كون,كن,كَنّ,False
قام,قام,,False
قام,أقوم,أَقْوَم,False
قام,تقوم,قام,True
قام,تقومين,قَوَّم,False
قام,تقومي,قام,True
قام,تقومون,قَوَّم,False
قام,تقوموا,قَوَّم,False
قام,تقمن,تَقَمَّن,False
قام,يقوم,قام,True
قام,تقوم,قام,True
قام,يقمنا,قَمّ,False
قام,يقمنان,,False
قام,تقمنا,تَقَمَّن,False
قام,تقمنان,,False
قام,يقومون,قام,True
قام,يقوموا,قام,True
قام,يقمن,قام,True
قام,نقوم,قام,True
قام,قمت,قَمّ,False
قام,قمت,قَمّ,False
قام,قمت,قَمّ,False
قام,قمتم,قام,True
قام,قمتن,قام,True
قام,قام,,False
قام,قامت,قام,True
قام,قاما,قام,True
قام,قامتا,قام,True
قام,قاموا,قام,True
قام,قمن,قَمِن,False
قام,قمنا,قام,True
قام,قم,قَمّ,False
قام,قومي,قام,True
قام,قوموا,قَوَّم,False
قام,قمن,قَمِن,False
وجب,وجب,جَبّ,False
وجب,أجب,جَبّ,False
وجب,تجب,جَبّ,False
وجب,تجيبين,جاب,False
وجب,تجيبي,جاب,False
وجب,تجيبون,أَجاب,False
وجب,تجبوا,جَبَّى,False
وجب,تجبن,جَبُن,False
وجب,يجب,جَبّ,False
وجب,تجب,جَبّ,False
وجب,يجيبان,جاب,False
وجب,يجيبا,جاب,False
وجب,تجيبان,جاب,False
وجب,تجيبا,جاب,False
وجب,يجبون,جَبّ,False
وجب,يجبوا,جَبّ,False
وجب,يجبن,جَبُن,False
وجب,نجب,نَجُب,False
وجب,وجبت,جَبّ,False
وجب,وجبت,جَبّ,False
وجب,وجبت,جَبّ,False
وجب,وجبتم,جاب,False
وجب,وجبن,جَبَّن,False
وجب,وجب,جَبّ,False
وجب,وجبت,جَبّ,False
وجب,وجبا,جَبّ,False
وجب,وجبتا,جَبّ,False
وجب,وجبوا,جَبّ,False
وجب,وجبن,جَبَّن,False
وجب,وجبنا,جاب,False
وجب,جب,جَبّ,False
وجب,جبي,جَبَى,False
وجب,جبوا,جَبّ,False
وجب,جبن,جَبَّن,False
وجد,وجد,جَدّ,False
وجد,أجد,أَجَدّ,False
وجد,تجد,جَدّ,False
وجد,تجدين,جَدا,False
وجد,تجدي,أَجْدَى,False
وجد,تجدون,أَجَدّ,False
وجد,تجدوا,جَدا,False
وجد,تجدن,أَجاد,False
وجد,يجد,جَدّ,False
وجد,تجد,جَدّ,False
وجد,يجدان,جَدّ,False
وجد,يجدا,جَدّ,False
وجد,تجدان,جَدّ,False
وجد,تجدا,جَدّ,False
وجد,يجدون,جَدّ,False
وجد,يجدوا,جَدا,False
وجد,يجدن,جاد,False
وجد,نجد,نَجَد,False
وجد,وجدت,جَدّ,False
وجد,وجدت,جَدّ,False
وجد,وجدت,جَدّ,False
وجد,وجدتم,جاد,False
وجد,وجدتن,جاد,False
وجد,وجد,جَدّ,False
وجد,وجدت,جَدّ,False
وجد,وجدا,جَدا,False
وجد,وجدتا,جَدّ,False
وجد,وجدوا,جَدّ,False
وجد,وجدن,جاد,False
وجد,وجدنا,جاد,False
وجد,جد,جَدّ,False
وجد,جدي,جَدْي,False
وجد,جدوا,جَدّ,False
وجد,جدن,جاد,False
دعا,دعا,دَعا,False
دعا,أدعو,دَعا,False
دعا,تدعو,دَعا,False
دعا,تدعين,دَعا,False
دعا,تدعي,اِدَّعَى,False
دعا,تدعون,دَعّ,False
دعا,تدعوا,دَعا,False
دعا,تدعون,دَعّ,False
دعا,يدعو,دَعا,False
دعا,تدعو,دَعا,False
دعا,يدعوان,دَعا,False
دعا,يدعوا,دَعا,False
دعا,تدعوان,دَعا,False
دعا,تدعوا,دَعا,False
دعا,يدعون,دَعّ,False
دعا,يدعوا,دَعا,False
دعا,يدعون,دَعّ,False
دعا,ندعوا,,False
دعا,دعوت,دَعا,False
دعا,دعوت,دَعا,False
دعا,دعوت,دَعا,False
دعا,دعوتم,دَعا,False
دعا,دعوتن,دَعا,False
دعا,دعا,دَعا,False
دعا,دعت,دَعّ,False
دعا,دعوا,دَعّ,False
دعا,دعتا,دَعّ,False
دعا,دعوا,دَعّ,False
دعا,دعون,دَعا,False
دعا,دعونا,دَعا,False
دعا,أدعو,دَعا,False
دعا,أدعي,دَعا,False
دعا,أدعوا,دَعا,False
دعا,أدعون,,False
رمى,رمى,رَمَى,False
رمى,أرمي,رَمَى,False
رمى,ترمي,رَمَى,False
رمى,ترمين,رَمَى,False
رمى,ترمي,رَمَى,False
رمى,ترموا,رَمّ,False
رمى,ترمون,رَمّ,False
رمى,ترمن,رام,False
رمى,يرمي,رَمَى,False
رمى,ترمي,رَمَى,False
رمى,يرميان,رَمَى,False
رمى,يرميا,رَمَى,False
رمى,ترميان,رَمَى,False
رمى,ترميا,رَمَى,False
رمى,يرمون,رَمّ,False
رمى,يرموا,رَمّ,False
رمى,يرمن,رام,False
رمى,نرمي,رَمَى,False
رمى,رميت,رَمَى,False
رمى,رميت,رَمَى,False
رمى,رميت,رَمَى,False
رمى,رميتم,رَمَى,False
رمى,رميتن,رَمَى,False
رمى,رمى,رَمَى,False
رمى,رمت,رَمّ,False
رمى,رميا,رَمَى,False
رمى,رمتا,رَمّ,False
رمى,رموا,رَمّ,False
رمى,رمين,رَمَى,False
رمى,رمينا,رَمَى,False
رمى,أرم,أَرَم,False
رمى,أرمي,رَمَى,False
رمى,أرموا,أَرَم,False
رمى,أرمن,أَرْمَنِيّ,False
بكى,بكى,بَكَى,False
بكى,أبكي,أَبْكَى,False
بكى,تبكي,بَكَى,False
بكى,تبكين,بَكَّى,False
بكى,تبكي,بَكَى,False
بكى,تبكون,بَكَّى,False
بكى,تبكوا,بَكَّى,False
بكى,تبكن,تَبّ,False
بكى,يبكي,بَكَى,False
بكى,تبكي,بَكَى,False
بكى,يبكيا,بَكِي,False
بكى,يبكيان,بَكِي,False
بكى,تبكيان,بَكِي,False
بكى,تبكيا,بَكِي,False
بكى,يبكون,بَكِي,False
بكى,يبكوا,بَكَّى,False
بكى,يبكن,,False
بكى,نبكي,بَكِي,False
بكى,بكيت,بَكِي,False
بكى,بكيت,بَكِي,False
بكى,بكيت,بَكِي,False
بكى,بكيتم,بَكَى,False
بكى,بكيتمن,,False
بكى,بكى,بَكَى,False
بكى,بكت,بَكَى,False
